Along Midspan (x = b/2),,,,,,,,,,,
b/a    /    y,BOT.,0.1a,0.2a,0.3a,0.4a,0.5a,0.6a,0.7a,0.8a,0.9a,TOP
4.0,0.00,36.90,73.50,109.50,144.80,179.30,213.00,246.10,278.70,311.00,343.40
3.0,0.00,17.10,33.80,50.20,65.80,80.90,95.40,109.30,122.80,136.30,149.80
2.5,0.00,10.20,20.20,29.70,38.70,47.20,55.20,62.80,70.10,77.20,84.50
2.0,0.00,5.30,10.40,15.20,19.60,23.60,27.20,30.50,33.60,36.70,39.80
1.75,0.00,3.60,7.00,10.10,12.90,15.30,17.50,19.40,21.20,22.90,24.70
1.5,0.00,2.30,4.40,6.20,7.80,9.20,10.30,11.30,12.20,13.00,13.90
1.25,0.00,1.30,2.50,3.50,4.30,4.90,5.40,5.80,6.20,6.50,6.90
1.0,0.00,0.70,1.20,1.70,2.00,2.30,2.40,2.50,2.60,2.70,2.80
0.75,0.00,0.30,0.50,0.60,0.70,0.80,0.80,0.80,0.80,0.80,0.90
0.5,0.00,0.10,0.10,0.20,0.20,0.20,0.20,0.20,0.20,0.20,0.20
