Along Midspan (x = b/2),,,,,,,,,,,
b/a    /    y,BOT.,0.1a,0.2a,0.3a,0.4a,0.5a,0.6a,07a,0.8a,0.9a,TOP
4.0,0,0.50,1.70,3.20,4.40,5.20,5.40,4.90,3.70,2.00,0
3.0,0,0.50,1.70,3.10,4.30,5.10,5.30,4.80,3.70,2.00,0
2.5,0,0.50,1.70,3.00,4.20,5.00,5.10,4.60,3.50,1.90,0
2.0,0,0.50,1.50,2.80,3.80,4.50,4.60,4.20,3.20,1.70,0
1.75,0,0.40,1.40,2.50,3.50,4.10,4.20,3.80,2.90,1.60,0
1.5,0,0.40,1.20,2.20,2.90,3.40,3.50,3.20,2.40,1.30,0
1.25,0,0.30,1.00,1.60,2.20,2.60,2.60,240,1.80,1.00,0
1.0,0,0.20,0.60,1.10,1.40,1.60,1.60,1.40,1.10,0.60,0
0.75,0,0.10,0.30,0.50,0.60,0.70,0.70,0.60,0.50,0.30,0
0.5,0,0.00,0.10,0.10,0.20,0.20,0.20,0.20,0.10,0.10,0
